Date,Open,High,Low,Close,Volume
2017-08-15,160.66,162.2,160.14,161.6,27936774
2017-08-16,161.94,162.51,160.15,160.95,27321761
2017-08-17,160.53,160.71,157.84,157.87,26925694
2017-08-18,157.87,159.5,156.72,157.5,27012525
2017-08-21,157.5,157.89,155.12,157.21,26145653
2017-08-22,158.23,160.0,158.03,159.78,21297812
2017-08-23,159.07,160.47,158.88,159.98,19198189
2017-08-24,160.43,160.74,158.56,159.28,19029621
2017-08-25,159.65,160.56,159.28,159.87,25015218
2017-08-28,160.14,162.0,159.93,161.47,25279674
2017-08-29,160.1,163.12,160.0,162.91,29307862
2017-08-30,163.81,163.89,162.62,163.35,26973946
2017-08-31,163.64,164.52,163.48,164.0,26412439
2017-09-01,164.8,164.94,163.63,164.05,16508568
2017-09-05,163.75,164.25,160.56,162.09,29317054
2017-09-06,162.71,162.99,160.53,161.91,21179047
2017-09-07,162.09,162.24,160.37,161.26,21722995
2017-09-08,160.87,161.15,158.53,158.63,28183159
2017-09-11,160.5,162.06,159.89,161.5,31028926
2017-09-12,162.62,163.96,158.78,160.87,71139119
2017-09-13,159.87,159.96,157.91,159.65,44393752
2017-09-14,158.99,159.4,158.09,158.28,23073646
2017-09-15,158.47,160.97,158.0,159.88,48203642
2017-09-18,160.12,160.5,158.0,158.67,27939718
2017-09-19,159.51,159.78,158.44,158.73,20347352
2017-09-20,157.9,158.26,153.84,156.07,51693239
2017-09-21,155.81,155.81,152.75,153.39,36643382
2017-09-22,152.03,152.28,150.56,151.89,46114424
2017-09-25,149.99,151.84,149.16,150.56,43922334
2017-09-26,151.78,153.92,151.69,153.14,35470985
2017-09-27,153.81,154.72,153.54,154.23,24959552
2017-09-28,153.89,154.28,152.7,153.28,21896592
2017-09-29,153.21,154.13,152.0,154.12,25856530
2017-10-02,154.26,154.45,152.72,153.81,18524860
2017-10-03,154.01,155.09,153.91,154.48,16146388
2017-10-04,153.63,153.87,152.46,153.48,19844177
2017-10-05,154.18,155.44,154.06,155.39,21032800
2017-10-06,154.97,155.49,154.56,155.31,16423749
2017-10-09,155.81,156.73,155.49,155.84,16200129
2017-10-10,156.06,158.0,155.1,155.9,15456331
2017-10-11,155.97,156.98,155.75,156.56,16607693
2017-10-12,156.35,157.37,155.73,156.0,16045720
2017-10-13,156.73,157.28,156.41,156.99,16287608
2017-10-16,157.9,160.0,157.65,159.88,23894630
2017-10-17,159.78,160.87,159.23,160.47,18816438
2017-10-18,160.42,160.71,159.6,159.76,16158659
2017-10-19,156.75,157.09,155.03,155.98,42111326
2017-10-20,156.62,157.75,155.96,156.25,23612246
2017-10-23,156.89,157.69,155.5,156.17,21654461
2017-10-24,156.29,157.42,156.2,157.1,17137731
2017-10-25,156.91,157.56,155.28,156.41,20126554
2017-10-26,157.23,157.83,156.78,157.41,16751691
2017-10-27,159.29,163.6,158.7,163.06,43904150
2017-10-30,163.89,168.07,163.72,166.72,43923292
2017-10-31,167.9,169.65,166.94,169.04,35474672
2017-11-01,169.87,169.94,165.61,166.89,33100847
2017-11-02,167.64,168.5,165.28,168.11,32710040
2017-11-03,174.0,174.26,171.12,172.5,58683826
2017-11-06,172.37,174.99,171.72,174.25,34242566
2017-11-07,173.91,175.25,173.6,174.81,23910914
2017-11-08,174.66,176.24,174.33,176.24,23907639
2017-11-09,175.11,176.1,173.14,175.88,28636531
2017-11-10,175.11,175.38,174.27,174.67,25061183
2017-11-13,173.5,174.5,173.4,173.97,16828025
2017-11-14,173.04,173.48,171.18,171.34,23588451
2017-11-15,169.97,170.32,168.38,169.08,28702351
2017-11-16,171.18,171.87,170.3,171.1,23497326
2017-11-17,171.04,171.39,169.64,170.15,21665811
2017-11-20,170.29,170.56,169.56,169.98,15974387
2017-11-21,170.78,173.7,170.78,173.14,24875471
2017-11-22,173.36,175.0,173.05,174.96,24997274
2017-11-24,175.1,175.5,174.65,174.97,14026519
2017-11-27,175.05,175.08,173.34,174.09,20536313
2017-11-28,174.3,174.87,171.86,173.07,25468442
2017-11-29,172.63,172.92,167.16,169.48,40788324
2017-11-30,170.43,172.14,168.44,171.85,40172368
2017-12-01,169.95,171.67,168.5,171.05,39590080
2017-12-04,172.48,172.62,169.63,169.8,32115052
2017-12-05,169.06,171.52,168.4,169.64,27008428
2017-12-06,167.5,170.21,166.46,169.01,28224357
2017-12-07,169.03,170.44,168.91,169.32,24469613
2017-12-08,170.49,171.0,168.82,169.37,23096872
2017-12-11,169.2,172.89,168.79,172.67,33092051
2017-12-12,172.15,172.39,171.47,171.7,18945457
2017-12-13,172.5,173.54,172.0,172.27,23142242
2017-12-14,172.4,173.13,171.65,172.22,20219307
2017-12-15,173.63,174.17,172.46,173.97,37054632
2017-12-18,174.88,177.2,174.86,176.42,28831533
2017-12-19,175.03,175.39,174.09,174.54,27078872
2017-12-20,174.87,175.42,173.25,174.35,23000392
2017-12-21,174.17,176.02,174.1,175.01,20356826
2017-12-22,174.68,175.42,174.5,175.01,16052615
2017-12-26,170.8,171.47,169.68,170.57,32968167
2017-12-27,170.1,170.78,169.71,170.6,21672062
2017-12-28,171.0,171.85,170.48,171.08,15997739
2017-12-29,170.52,170.59,169.22,169.23,25643711
2018-01-02,170.16,172.3,169.26,172.26,25048048
2018-01-03,172.53,174.55,171.96,172.23,28819653
2018-01-04,172.54,173.47,172.08,173.03,22211345
2018-01-05,173.44,175.37,173.05,175.0,23016177
2018-01-08,174.35,175.61,173.93,174.35,20134092
2018-01-09,174.55,175.06,173.41,174.33,21262614
2018-01-10,173.16,174.3,173.0,174.29,23589129
2018-01-11,174.59,175.49,174.49,175.28,17523256
2018-01-12,176.18,177.36,175.65,177.09,25039531
2018-01-16,177.9,179.39,176.14,176.19,29159005
2018-01-17,176.15,179.25,175.07,179.1,32752734
2018-01-18,179.37,180.1,178.25,179.26,30234512
2018-01-19,178.61,179.58,177.41,178.46,30827809
2018-01-22,177.3,177.78,176.6,177.0,26023683
2018-01-23,177.3,179.44,176.82,177.04,31702531
2018-01-24,177.25,177.3,173.2,174.22,50562257
2018-01-25,174.51,174.95,170.53,171.11,39661804
2018-01-26,172.0,172.0,170.06,171.51,37121805
2018-01-29,170.16,170.16,167.07,167.96,48434424
2018-01-30,165.53,167.37,164.7,166.97,45137026
2018-01-31,166.87,168.44,166.5,167.43,30984099
2018-02-01,167.17,168.62,166.76,167.78,38099665
2018-02-02,166.0,166.8,160.1,160.5,85436075
2018-02-05,159.1,163.88,156.0,156.49,66090446
